Model:	LI-7820
SN:	TG20-01377
Software Version:	2.3.8
Timestamp:	2025-10-16 08:50:41
Timezone:	Etc/UTC
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATA	1760623213	416964054	185742	0	""	2025-10-16	14:00:13	309.66147	1.6858629	39.6486	55.001	28.0252	39.7714	0.000540794	37.6749	54.5005	3.5	0.0446561	24.2116	171
DATA	1760623214	416964054	185752	0	""	2025-10-16	14:00:14	308.39734	1.7202582	39.6503	55.001	28.0252	39.7714	0.000540448	37.6723	54.5005	-19.2	0.0446561	24.2116	232
DATA	1760623215	416850090	185762	0	""	2025-10-16	14:00:15	307.11838	1.6733693	39.6498	55.001	28.0239	39.7714	0.000541174	37.6747	54.5005	37.5	0.0446561	24.2116	213
DATA	1760623216	416850090	185772	0	""	2025-10-16	14:00:16	306.22208	1.7988353	39.6486	55.001	28.0249	39.7714	0.000541028	37.6741	54.5005	4.4	0.0446561	24.2119	152
DATA	1760623217	416850090	185782	0	""	2025-10-16	14:00:17	305.0856	1.6872897	39.6488	55.001	28.0255	39.7714	0.000539409	37.6736	54.5005	8.3	0.0446561	24.2116	128
DATA	1760623218	416737079	185792	0	""	2025-10-16	14:00:18	304.29498	1.7382958	39.6485	55.001	28.025	39.7714	0.00054074	37.675	54.5005	13.8	0.0446561	24.2115	 79
DATA	1760623219	416737079	185802	0	""	2025-10-16	14:00:19	303.18811	1.6656498	39.6493	55.001	28.0244	39.7714	0.000539891	37.6754	54.5005	16.1	0.0446561	24.2116	223
DATA	1760623220	416737079	185812	0	""	2025-10-16	14:00:20	301.71085	1.6986339	39.6496	55.001	28.024	39.7714	0.000539919	37.6747	54.5005	22.3	0.0446561	24.2126	162
DATA	1760623221	416633844	185822	0	""	2025-10-16	14:00:21	300.84592	1.6652999	39.6491	55.001	28.0262	39.7714	0.000539833	37.6729	54.5005	-9.3	0.0446561	24.2119	214
DATA	1760623222	416633844	185832	0	""	2025-10-16	14:00:22	300.19922	1.7694508	39.6488	55.001	28.0247	39.7714	0.000540066	37.6735	54.5005	11.1	0.0446561	24.2119	195
DATA	1760623223	416633844	185842	0	""	2025-10-16	14:00:23	299.12738	1.7530659	39.6494	55.001	28.0254	39.7714	0.000540974	37.6737	54.5005	-32.3	0.0446561	24.2113	  2
DATA	1760623224	416517019	185852	0	""	2025-10-16	14:00:24	298.34067	1.7784243	39.6488	55.001	28.023	39.7714	0.000540879	37.675	54.5005	56.5	0.0446561	24.2115	119
DATA	1760623225	416517019	185862	0	""	2025-10-16	14:00:25	297.74545	1.7782041	39.6493	55.001	28.0257	39.7714	0.000539651	37.6718	54.5005	1	0.0446561	24.2115	 64
DATA	1760623226	416517019	185872	0	""	2025-10-16	14:00:26	296.98883	1.7656318	39.6494	55.001	28.0245	39.7714	0.000540064	37.6765	54.5005	-10	0.0446561	24.2122	165
DATA	1760623227	416399955	185882	0	"lab-3_baseline"	2025-10-16	14:00:27	295.92148	1.6846849	39.6499	55.001	28.0209	39.7714	0.000541599	37.6769	54.5005	35.8	0.0446561	24.2119	 67
DATA	1760623228	416399955	185892	0	"lab-3_baseline"	2025-10-16	14:00:28	295.16534	1.8391587	39.6496	55.001	28.0235	39.7714	0.000541302	37.6777	54.5005	35.4	0.0446561	24.2126	 32
DATA	1760623229	416399955	185902	0	"lab-3_baseline"	2025-10-16	14:00:29	294.35422	1.7970847	39.6496	55.001	28.0259	39.7714	0.00054063	37.6722	54.5005	-39.3	0.0446561	24.2122	 18
DATA	1760623230	416290998	185912	0	"lab-3_baseline"	2025-10-16	14:00:30	293.37762	1.7515925	39.6491	55.001	28.0235	39.7714	0.000539916	37.6764	54.5005	-10.3	0.0446561	24.2121	 46
DATA	1760623231	416290998	185922	0	"lab-3_baseline"	2025-10-16	14:00:31	292.61655	1.7773681	39.648	55.001	28.023	39.7714	0.000541516	37.6776	54.5005	40	0.0446561	24.2119	 64
DATA	1760623232	416290998	185932	0	"lab-3_baseline"	2025-10-16	14:00:32	291.46808	1.7799377	39.6494	55.001	28.0268	39.7714	0.000539946	37.6707	54.5005	-19.9	0.0446561	24.2119	 97
DATA	1760623233	416180133	185942	0	"lab-3_baseline"	2025-10-16	14:00:33	291.01675	1.680933	39.6498	55.001	28.0252	39.7714	0.000540617	37.6735	54.5005	-40.5	0.0446561	24.2116	232
DATA	1760623234	416180133	185952	0	"lab-3_baseline"	2025-10-16	14:00:34	290.0849	1.6834337	39.649	55.001	28.0234	39.7714	0.000540808	37.6753	54.5005	17.3	0.0446561	24.2118	146
DATA	1760623235	416180133	185962	0	"lab-3_baseline"	2025-10-16	14:00:35	288.76212	1.661636	39.6493	55.001	28.0245	39.7714	0.000540856	37.6734	54.5005	-30.6	0.0446561	24.2121	239
DATA	1760623236	416064977	185972	0	"lab-3_baseline"	2025-10-16	14:00:36	288.67542	1.7833838	39.6491	55.001	28.023	39.7714	0.000541764	37.6751	54.5005	-2.5	0.0446561	24.2129	225
DATA	1760623237	416064977	185982	0	"lab-3_baseline"	2025-10-16	14:00:37	287.68301	1.7423389	39.6494	55.001	28.0224	39.7714	0.00054152	37.6755	54.5005	22.4	0.0446561	24.2122	214
DATA	1760623238	416064977	185992	0	"lab-3_baseline"	2025-10-16	14:00:38	287.29767	1.7531748	39.6491	55.001	28.0244	39.7714	0.000541241	37.6745	54.5005	-1	0.0446561	24.2116	174
DATA	1760623239	415955066	186002	0	"lab-3_baseline"	2025-10-16	14:00:39	286.6405	1.7504792	39.6499	55.001	28.0239	39.7714	0.00054133	37.6753	54.5005	7.9	0.0446561	24.2121	112
DATA	1760623240	415955066	186012	0	"lab-3_baseline"	2025-10-16	14:00:40	285.45343	1.7993025	39.6493	55.001	28.0252	39.7714	0.000539663	37.6759	54.5005	17.1	0.0446561	24.211	199
DATA	1760623241	415955066	186022	0	"lab-3_baseline"	2025-10-16	14:00:41	285.12146	1.6732117	39.6486	55.001	28.0254	39.7714	0.000540891	37.6732	54.5005	-29.8	0.0446561	24.2113	 29
DATA	1760623242	415832996	186032	0	"lab-3_baseline"	2025-10-16	14:00:42	284.05545	1.6652716	39.649	55.001	28.023	39.7714	0.000541526	37.6757	54.5005	21.1	0.0446561	24.2115	142
DATA	1760623243	415832996	186042	0	"lab-3_baseline"	2025-10-16	14:00:43	283.64853	1.7503923	39.649	55.001	28.0226	39.7714	0.000541528	37.6753	54.5005	-35.4	0.0446561	24.2126	253
DATA	1760623244	415832996	186052	0	"lab-3_baseline"	2025-10-16	14:00:44	283.07816	1.8362079	39.6493	55.001	28.0217	39.7714	0.000539671	37.6741	54.5005	14.7	0.0446561	24.2122	  7
DATA	1760623245	415719985	186062	0	"lab-3_baseline"	2025-10-16	14:00:45	281.98096	1.7029967	39.6491	55.001	28.0217	39.7714	0.000541186	37.6747	54.5005	-21.8	0.0446561	24.2126	 71
DATA	1760623246	415719985	186072	0	"lab-3_baseline"	2025-10-16	14:00:46	281.17065	1.6230128	39.6494	55.001	28.0204	39.7714	0.000540648	37.6787	54.5005	67.4	0.0446561	24.2122	  5
DATA	1760623247	415719985	186082	0	"lab-3_baseline"	2025-10-16	14:00:47	280.3363	1.5717053	39.6496	55.001	28.0224	39.7714	0.000539595	37.6757	54.5005	-1.1	0.0446561	24.2116	212
DATA	1760623248	415606021	186092	0	"lab-3_baseline"	2025-10-16	14:00:48	279.56073	1.7564342	39.6494	55.001	28.0224	39.7714	0.000540436	37.6763	54.5005	40.4	0.0446561	24.2118	248
DATA	1760623249	415606021	186102	0	"lab-3_baseline"	2025-10-16	14:00:49	279.17926	1.7354467	39.6485	55.001	28.0239	39.7714	0.000540379	37.6742	54.5005	-8	0.0446561	24.2116	161
DATA	1760623250	415606021	186112	0	"lab-3_baseline"	2025-10-16	14:00:50	278.13708	1.76421	39.6491	55.001	28.023	39.7714	0.000540662	37.6749	54.5005	-0.2	0.0446561	24.2116	 57
DATA	1760623251	415493965	186122	0	"lab-3_baseline"	2025-10-16	14:00:51	278.01187	1.7839311	39.649	55.001	28.0227	39.7714	0.000540462	37.6754	54.5005	15.9	0.0446561	24.2119	205
DATA	1760623252	415493965	186132	0	"lab-3_baseline"	2025-10-16	14:00:52	276.97058	1.6771665	39.6486	55.001	28.0217	39.7714	0.000539024	37.6744	54.5005	8.2	0.0446561	24.2118	223
DATA	1760623253	415493965	186142	0	"lab-3_baseline"	2025-10-16	14:00:53	276.29205	1.6313628	39.6493	55.001	28.0207	39.7714	0.000541069	37.6754	54.5005	18.4	0.0446561	24.2121	251
DATA	1760623254	415385961	186152	0	"lab-3_baseline"	2025-10-16	14:00:54	275.51807	1.6876565	39.6494	55.001	28.0222	39.7714	0.000538911	37.6752	54.5005	8.3	0.0446561	24.2122	215
DATA	1760623255	415385961	186162	0	"lab-3_baseline"	2025-10-16	14:00:55	274.83362	1.6387788	39.6494	55.001	28.023	39.7714	0.000539344	37.6741	54.5005	20.4	0.0446561	24.2113	215
DATA	1760623256	415385961	186172	0	"lab-3_baseline"	2025-10-16	14:00:56	274.17972	1.6494726	39.6498	55.001	28.0209	39.7714	0.00053964	37.6754	54.5005	0.7	0.0446561	24.2121	178
DATA	1760623257	415271043	186182	0	"lab-3_baseline"	2025-10-16	14:00:57	273.71786	1.6672969	39.6496	55.001	28.0226	39.7714	0.00053987	37.6747	54.5005	6.4	0.0446561	24.2115	185
DATA	1760623258	415271043	186192	0	"lab-3_baseline"	2025-10-16	14:00:58	272.97305	1.7425568	39.6493	55.001	28.0221	39.7714	0.00054032	37.6752	54.5005	1	0.0446561	24.2116	 42
DATA	1760623259	415271043	186202	0	"lab-3_baseline"	2025-10-16	14:00:59	272.55084	1.6993729	39.6493	55.001	28.0214	39.7714	0.000540054	37.6767	54.5005	1.9	0.0446561	24.2111	200
DATA	1760623260	415158033	186212	0	"lab-3_baseline"	2025-10-16	14:01:00	271.97018	1.6475424	39.6498	55.001	28.0226	39.7714	0.000540078	37.6728	54.5005	-4	0.0446561	24.2126	134
DATA	1760623261	415158033	186222	0	"lab-3_baseline"	2025-10-16	14:01:01	271.3952	1.8193636	39.6491	55.001	28.0216	39.7714	0.000539758	37.6751	54.5005	-5.7	0.0446561	24.2122	186
DATA	1760623262	415158033	186232	0	"lab-3_baseline"	2025-10-16	14:01:02	270.90317	1.7884481	39.6486	55.001	28.0221	39.7714	0.000539824	37.6762	54.5005	14.2	0.0446561	24.2127	240
DATA	1760623263	415048837	186242	0	"lab-3_baseline"	2025-10-16	14:01:03	269.87241	1.7346945	39.6498	55.001	28.0222	39.7714	0.00053998	37.674	54.5005	4.7	0.0446561	24.2121	118
DATA	1760623264	415048837	186252	0	"lab-3_baseline"	2025-10-16	14:01:04	269.78961	1.7170454	39.6491	55.001	28.0226	39.7714	0.000539195	37.6751	54.5005	11.7	0.0446561	24.2119	 10
DATA	1760623265	415048837	186262	0	"lab-3_baseline"	2025-10-16	14:01:05	269.14175	1.6998785	39.649	55.001	28.0224	39.7714	0.000539018	37.673	54.5005	-28.6	0.0446561	24.2119	224
DATA	1760623266	414929151	186272	0	"lab-3_baseline"	2025-10-16	14:01:06	268.26074	1.5889831	39.6498	55.001	28.0201	39.7714	0.000539574	37.6753	54.5005	-0.1	0.0446561	24.2116	  2
DATA	1760623267	414929151	186282	0	"lab-3_baseline"	2025-10-16	14:01:07	267.56183	1.7254424	39.6491	55.001	28.0202	39.7714	0.000541165	37.676	54.5005	44.4	0.0446561	24.2116	197
DATA	1760623268	414929151	186292	0	"lab-3_baseline"	2025-10-16	14:01:08	267.16043	1.5948639	39.6493	55.001	28.0211	39.7714	0.000539715	37.6771	54.5005	-52.5	0.0446561	24.2121	 52
DATA	1760623269	414814949	186302	0	"lab-3_baseline"	2025-10-16	14:01:09	266.63849	1.6361252	39.6496	55.001	28.0211	39.7714	0.000540821	37.6755	54.5005	3	0.0446561	24.2122	106
DATA	1760623270	414814949	186312	0	"lab-3_baseline"	2025-10-16	14:01:10	265.98572	1.6387402	39.648	55.001	28.0207	39.7714	0.000540852	37.6768	54.5005	34.1	0.0446561	24.2122	201
DATA	1760623271	414814949	186322	0	"lab-3_baseline"	2025-10-16	14:01:11	264.98981	1.6836331	39.6488	55.001	28.0197	39.7714	0.000540763	37.6788	54.5005	9.1	0.0446561	24.2126	232
DATA	1760623272	414706945	186332	0	"lab-3_baseline"	2025-10-16	14:01:12	265.0578	1.6737958	39.649	55.001	28.0209	39.7714	0.000540667	37.6752	54.5005	-9	0.0446561	24.2119	 69
DATA	1760623273	414706945	186342	0	"lab-3_baseline"	2025-10-16	14:01:13	264.30014	1.6286017	39.649	55.001	28.0212	39.7714	0.000538934	37.6758	54.5005	-24.1	0.0446561	24.2115	232
DATA	1760623274	414706945	186352	0	"lab-3_baseline"	2025-10-16	14:01:14	263.91187	1.6056676	39.649	55.001	28.0199	39.7714	0.000539834	37.6771	54.5005	-22.2	0.0446561	24.2113	  8
DATA	1760623275	414596080	186362	0	"lab-3_baseline"	2025-10-16	14:01:15	263.35895	1.6747549	39.6486	55.001	28.0209	39.7714	0.000540562	37.6759	54.5005	20.3	0.0446561	24.2119	 19
DATA	1760623276	414596080	186372	0	"lab-3_baseline"	2025-10-16	14:01:16	262.66882	1.607568	39.6498	55.001	28.0212	39.7714	0.000539336	37.6732	54.5005	-24.9	0.0446561	24.2118	 12
DATA	1760623277	414596080	186382	0	"lab-3_baseline"	2025-10-16	14:01:17	261.99002	1.6200837	39.6491	55.001	28.0204	39.7714	0.000540162	37.6751	54.5005	15.5	0.0446561	24.2129	239
DATA	1760623278	414479970	186392	0	"lab-3_baseline"	2025-10-16	14:01:18	261.58453	1.6574975	39.6485	55.001	28.0202	39.7714	0.00053881	37.6731	54.5005	4.2	0.0446561	24.2124	172
DATA	1760623279	414479970	186402	0	"lab-3_baseline"	2025-10-16	14:01:19	260.88165	1.6046345	39.6491	55.001	28.0202	39.7714	0.000540124	37.6769	54.5005	20	0.0446561	24.2126	152
DATA	1760623280	414479970	186412	0	"lab-3_baseline"	2025-10-16	14:01:20	260.19336	1.7321643	39.6491	55.001	28.0214	39.7714	0.000539501	37.6734	54.5005	-34.7	0.0446561	24.2118	 27
DATA	1760623281	414363145	186422	0	"lab-3_baseline"	2025-10-16	14:01:21	260.10223	1.6312435	39.649	55.001	28.0216	39.7714	0.000539168	37.6727	54.5005	-19.2	0.0446561	24.2115	215
DATA	1760623282	414363145	186432	0	"lab-3_baseline"	2025-10-16	14:01:22	259.86392	1.6919044	39.6496	55.001	28.0194	39.7714	0.000538809	37.6741	54.5005	-7.7	0.0446561	24.2118	 12
DATA	1760623283	414363145	186442	0	"lab-3_baseline"	2025-10-16	14:01:23	259.13757	1.7555302	39.6485	55.001	28.0212	39.7714	0.000539718	37.6763	54.5005	20.7	0.0446561	24.2115	248
DATA	1760623284	414251089	186452	0	"lab-3_baseline"	2025-10-16	14:01:24	258.38098	1.7084796	39.6488	55.001	28.0209	39.7714	0.000538813	37.6745	54.5005	-8.8	0.0446561	24.2116	 25
DATA	1760623285	414251089	186462	0	"lab-3_baseline"	2025-10-16	14:01:25	257.80496	1.667327	39.6491	55.001	28.0206	39.7714	0.000538739	37.6732	54.5005	-26.4	0.0446561	24.2121	  2
DATA	1760623286	414251089	186472	0	"lab-3_baseline"	2025-10-16	14:01:26	257.26086	1.7345896	39.6491	55.001	28.0191	39.7714	0.000538906	37.676	54.5005	-9.3	0.0446561	24.2121	219
DATA	1760623287	414140939	186482	0	"lab-3_baseline"	2025-10-16	14:01:27	256.68799	1.5511376	39.6488	55.001	28.0189	39.7714	0.000540678	37.6765	54.5005	13.9	0.0446561	24.2122	 39
DATA	1760623288	414140939	186492	0	"lab-3_baseline"	2025-10-16	14:01:28	256.00259	1.7155427	39.6493	55.001	28.0206	39.7714	0.000540015	37.6758	54.5005	18.6	0.0446561	24.2126	  1
DATA	1760623289	414140939	186502	0	"lab-3_baseline"	2025-10-16	14:01:29	255.85674	1.6253905	39.6493	55.001	28.0202	39.7714	0.000539513	37.6752	54.5005	-22.6	0.0446561	24.2119	 50
DATA	1760623290	414027929	186512	0	"lab-3_baseline"	2025-10-16	14:01:30	255.16444	1.6434908	39.649	55.001	28.0166	39.7714	0.000540271	37.6775	54.5005	58	0.0446561	24.2115	103
DATA	1760623291	414027929	186522	0	"lab-3_baseline"	2025-10-16	14:01:31	254.86073	1.6518533	39.6494	55.001	28.0199	39.7714	0.000540053	37.6757	54.5005	-28.7	0.0446561	24.2115	 50
DATA	1760623292	414027929	186532	0	"lab-3_baseline"	2025-10-16	14:01:32	254.45441	1.7450643	39.6494	55.001	28.0202	39.7714	0.000539187	37.6727	54.5005	-11	0.0446561	24.2116	191
DATA	1760623293	413916110	186542	0	"lab-3_baseline"	2025-10-16	14:01:33	253.73158	1.6919147	39.649	55.001	28.0197	39.7714	0.000540551	37.6769	54.5005	8.2	0.0446561	24.2118	160
DATA	1760623294	413916110	186552	0	"lab-3_baseline"	2025-10-16	14:01:34	253.34053	1.7152287	39.6483	55.001	28.0201	39.7714	0.000539723	37.6747	54.5005	-30	0.0446561	24.2126	181
DATA	1760623295	413916110	186562	0	"lab-3_baseline"	2025-10-16	14:01:35	252.99568	1.6501936	39.6494	55.001	28.0192	39.7714	0.000539849	37.676	54.5005	-18.8	0.0446561	24.2122	 18
DATA	1760623296	413799047	186572	0	"lab-3_baseline"	2025-10-16	14:01:36	252.54951	1.6722735	39.6486	55.001	28.0201	39.7714	0.000539927	37.6746	54.5005	10.2	0.0446561	24.2122	 10
DATA	1760623297	413799047	186582	0	"lab-3_baseline"	2025-10-16	14:01:37	251.64767	1.7003038	39.6488	55.001	28.0202	39.7714	0.000539566	37.6742	54.5005	-36.8	0.0446561	24.2119	 70
DATA	1760623298	413799047	186592	0	"lab-3_baseline"	2025-10-16	14:01:38	251.64543	1.7723091	39.649	55.001	28.0211	39.7714	0.000538845	37.6723	54.5005	-12	0.0446561	24.2116	161
DATA	1760623299	413687944	186602	0	"lab-3_baseline"	2025-10-16	14:01:39	251.02797	1.7353461	39.6494	55.001	28.0216	39.7714	0.000539069	37.6718	54.5005	-31.9	0.0446561	24.2118	 70
DATA	1760623300	413687944	186612	0	"lab-3_baseline"	2025-10-16	14:01:40	250.69989	1.6144028	39.6485	55.001	28.0197	39.7714	0.000539175	37.677	54.5005	-18.7	0.0446561	24.2115	 13
DATA	1760623301	413687944	186622	0	"lab-3_baseline"	2025-10-16	14:01:41	249.99655	1.7088106	39.6498	55.001	28.0189	39.7714	0.000540513	37.6765	54.5005	-4.4	0.0446561	24.2122	  9
DATA	1760623302	413575887	186632	0	"lab-3_baseline"	2025-10-16	14:01:42	249.48424	1.6762547	39.6496	55.001	28.0194	39.7714	0.000539336	37.6751	54.5005	-13.7	0.0446561	24.2121	 59
DATA	1760623303	413575887	186642	0	"lab-3_baseline"	2025-10-16	14:01:43	248.89635	1.5589992	39.6494	55.001	28.0202	39.7714	0.000540202	37.6738	54.5005	-19.5	0.0446561	24.2119	 68
DATA	1760623304	413575887	186652	0	"lab-3_baseline"	2025-10-16	14:01:44	248.76492	1.5993909	39.6493	55.001	28.0197	39.7714	0.000539392	37.6755	54.5005	-41.6	0.0446561	24.2119	 90
DATA	1760623305	413469076	186662	0	"lab-3_baseline"	2025-10-16	14:01:45	247.92174	1.6143963	39.6493	55.001	28.0204	39.7714	0.000539913	37.6725	54.5005	-27.7	0.0446561	24.2122	 51
DATA	1760623306	413469076	186672	0	"lab-3_baseline"	2025-10-16	14:01:46	247.65295	1.6163568	39.649	55.001	28.0197	39.7714	0.000540101	37.6739	54.5005	6.7	0.0446561	24.2121	166
DATA	1760623307	413469076	186682	0	"lab-3_baseline"	2025-10-16	14:01:47	247.04829	1.6880729	39.6481	55.001	28.0207	39.7714	0.000539896	37.6739	54.5005	-40.2	0.0446561	24.2113	 70
DATA	1760623308	413351058	186692	0	"lab-3_baseline"	2025-10-16	14:01:48	246.66026	1.6610998	39.6493	55.001	28.0217	39.7714	0.000540417	37.6739	54.5005	-6.7	0.0446561	24.2113	  2
DATA	1760623309	413351058	186702	0	"lab-3_baseline"	2025-10-16	14:01:49	246.19478	1.7470568	39.6496	55.001	28.0191	39.7714	0.000539359	37.6764	54.5005	9.7	0.0446561	24.2116	235
DATA	1760623310	413351058	186712	0	"lab-3_baseline"	2025-10-16	14:01:50	245.72569	1.6138698	39.6501	55.001	28.0197	39.7714	0.000539842	37.6739	54.5005	-6.1	0.0446561	24.2121	247
DATA	1760623311	413237094	186722	0	"lab-3_baseline"	2025-10-16	14:01:51	245.16754	1.6110938	39.6491	55.001	28.0194	39.7714	0.000540552	37.6746	54.5005	-17.5	0.0446561	24.2124	 28
DATA	1760623312	413237094	186732	0	"lab-3_baseline"	2025-10-16	14:01:52	244.81126	1.7195318	39.6493	55.001	28.0171	39.7714	0.000541035	37.6769	54.5005	30.1	0.0446561	24.2126	234
DATA	1760623313	413237094	186742	0	"lab-3_baseline"	2025-10-16	14:01:53	244.47482	1.6815892	39.6491	55.001	28.0209	39.7714	0.000539843	37.6738	54.5005	20.2	0.0446561	24.2119	  5
DATA	1760623314	413131952	186752	0	"lab-3_baseline"	2025-10-16	14:01:54	244.09924	1.6950392	39.649	55.001	28.0224	39.7714	0.000539523	37.6701	54.5005	-29.9	0.0446561	24.2118	247
DATA	1760623315	413131952	186762	0	"lab-3_baseline"	2025-10-16	14:01:55	243.6756	1.6871829	39.6493	55.001	28.0212	39.7714	0.000540106	37.6745	54.5005	-6	0.0446561	24.2121	 91
DATA	1760623316	413131952	186772	0	"lab-3_baseline"	2025-10-16	14:01:56	243.12923	1.5867074	39.6483	55.001	28.0206	39.7714	0.000539171	37.6733	54.5005	-33.8	0.0446561	24.2116	 38
DATA	1760623317	413017034	186782	0	"lab-3_baseline"	2025-10-16	14:01:57	242.65837	1.7146233	39.6488	55.001	28.0184	39.7714	0.00054097	37.6756	54.5005	12.6	0.0446561	24.2116	207
DATA	1760623318	413017034	186792	0	"lab-3_baseline"	2025-10-16	14:01:58	242.3013	1.5523287	39.6483	55.001	28.0192	39.7714	0.000540174	37.674	54.5005	-15.1	0.0446561	24.2118	174
DATA	1760623319	413017034	186802	0	"lab-3_baseline"	2025-10-16	14:01:59	241.77174	1.6225286	39.6485	55.001	28.0181	39.7714	0.000540875	37.6765	54.5005	-14.3	0.0446561	24.2118	 41
DATA	1760623320	412897109	186812	0	"lab-3_baseline"	2025-10-16	14:02:00	241.34067	1.6830602	39.6488	55.001	28.0169	39.7714	0.000541199	37.6751	54.5005	28	0.0446561	24.2122	145
DATA	1760623321	412897109	186822	0	"lab-3_baseline"	2025-10-16	14:02:01	240.78876	1.6502374	39.6481	55.001	28.0176	39.7714	0.000538647	37.6759	54.5005	-5.2	0.0446561	24.2124	  2
DATA	1760623322	412897109	186832	0	"lab-3_baseline"	2025-10-16	14:02:02	240.81992	1.7063005	39.6493	55.001	28.0199	39.7714	0.000539518	37.6731	54.5005	-19.2	0.0446561	24.2122	 39
DATA	1760623323	412789106	186842	0	"lab-3_baseline"	2025-10-16	14:02:03	240.52568	1.6631854	39.649	55.001	28.0201	39.7714	0.000538839	37.6741	54.5005	-23.7	0.0446561	24.2122	243
DATA	1760623324	412789106	186852	0	"lab-3_baseline"	2025-10-16	14:02:04	239.96365	1.6135548	39.6481	55.001	28.0196	39.7714	0.000540773	37.6737	54.5005	-17.9	0.0446561	24.2113	 61
DATA	1760623325	412789106	186862	0	"lab-3_baseline"	2025-10-16	14:02:05	239.56961	1.6873046	39.649	55.001	28.0206	39.7714	0.000538321	37.673	54.5005	-38.3	0.0446561	24.2118	207
DATA	1760623326	412667989	186872	0	"lab-3_baseline"	2025-10-16	14:02:06	239.12128	1.7124897	39.6485	55.001	28.0184	39.7714	0.00053925	37.673	54.5005	-32.3	0.0446561	24.2119	221
DATA	1760623327	412667989	186882	0	"lab-3_baseline"	2025-10-16	14:02:07	238.53789	1.6403316	39.6488	55.001	28.0163	39.7714	0.000539545	37.6772	54.5005	39.1	0.0446561	24.2121	 32
DATA	1760623328	412667989	186892	0	"lab-3_baseline"	2025-10-16	14:02:08	238.52943	1.7273053	39.6498	55.001	28.0184	39.7714	0.000537923	37.6754	54.5005	10.5	0.0446561	24.2127	 31
DATA	1760623329	412559032	186902	0	"lab-3_baseline"	2025-10-16	14:02:09	237.78172	1.6627886	39.6491	55.001	28.0188	39.7714	0.000540266	37.6762	54.5005	-3.8	0.0446561	24.2129	 15
